title	rating	text
Wonderful, Funny, and unexpecting!!!	5	I Love this book and is soooo coool!!!!! I purcased the audio tape and loved the man who read it, Jim Dale. He had such a voice of character and really made you addicted to reading it. Every character had a different voice and not all the same sound.
Wundervolle Bilder	5	Die Geschichte ist eine von Pratchetts besseren und die Bilder sind, bis auf diejenigen der Silver Horde (die sich ähneln) einfach grandios. Ich bin sonst kein Freund von Illustrationen und insbesondere diejenigen auf den "normalen" Discworld Romanen empfinde ich als unpassend, aber diese Bilder sind ein signifikanter Bonus für das Buch. Sie sind keine kitschigen Fantasy-Helden Bilder, sondern entsprechen der etwas ernsteren Welt von Pratchett (wobei hier die Welt, nicht der Humor gemeint ist).Kurz:Eines meiner Lieblingsbücher von der Scheibenwelt.
Spitze !	5	Zu Harry Potter gibt es, denke ich, kaum noch etwas zu sagen. Nur so viel, auch das Finale ist wieder spitze, aber den Epilog hätte sie sich sparen können. Total überflüssig !
stromanschluss die volle fehlkonstuktion	2	Hab dieses Gerät vor 1 Jahr gekauft und war anfänglich sehr zufrieden mit der Leistung, an der gibts wenig auszusetzen. Die absolute Fehlkonstruktion ist leider, das der Stromanschluss hinten in der Mitte ist. Das bedeutet, es kann zur Probleme mit der Standfestigkeit kommen. Ausserdem ist das Gerät relativ laut und erzeugt eine grosse Hitze. Ausserdem könnte bei diesem Preis zumindest ein Dvd Brenner eingebaut sein, der auch Blu Rays zumindest liest. Nach nichtmal 1 Jahr wurde bei mir der Stromanschluss defekt, und jetzt wird mir Selbstverschulden vorgeworfen und die Garantie verweigert. Zusammendfassend: 3 Negativpunkte folglich: Stromanschluss an falscher Stelle, Lärm des Gerätes, und hohe Hitzeentwicklung. Trotz Supercomputerleistung, nicht empfehlenswert.Walter H.
Einfach Mitreisend	5	Ich bin 15 und habe dieses Buch gelesen.Es hat mich von der 1.Minute mitgerissen...Weil ich weiß wie es ist.die Liebe zu finden und wie alles dann beginnt!!Ich finde diese Buch ist der Wahrheit gerecht Jugendliche machen sich solche Gedanken wenn sie verliebt sind...Der Schriftstiel ist spritzig und der Handlung entsprechend!! Jeder der in meinem alter ist wird dieses Buch gerne lesen Alle meine Freundinnen die es gelesen haben waren der selben Meinung wie ich... Es ist ein Buch wo man nicht mehr aufhören kann zu lesen...
Gut aber nicht sehr gut	3	Wie gewohnt von dieser Reihe "Dummies" eine gut verständlich geschriebenes Buch. Inhalte gut erklärt und durch viel Graphiken veranschaulicht. Aber: Leider fehlen Fragen zur Theorie bzw. selbst kleine Tests und Rechenaufgaben fast vollständig. Nach der Bearbeitung der Beispiele kann das Wissen so nicht gefestigt werden. zu diesem Zweck sollte man wohl das Übungsbuch aus der Reihe erwerben, welches voraussichtlich im Sept. 2009 erscheint.
Ungalublich lustig	5	Dieses Buch ist einfach unglaublich lustig geschrieben. Oft habe ich mit Christine und ihren Helfern gelitten und gelacht. Eine typische Vater-Tochter GEschichte, die zeigt, dass wir immer Kinder bleiben, egal wie alt wir sind. Perfekt für den nächsten Nordseeurlaub :-)
Gute Spiele aus den Neunzigern, etwas schlecht vorkonfiguriert	4	Nun zu der Nordlandtrilogie brauche ich an sich nichts weiter zu sagen. Andere Leute haben diese Spiele auch berechtigt gelobt.Diese Zusammenstellung auf der vorliegenden DVD ist durchaus gut gelungen, eine einfach gehaltene Installationsrutine führt den unerfahrenen Nutzer schnell zum Ziel.Prinzipiell sind alle drei Spiele auf moderneren Computern lauffähig. Doch die mitgelieferte DOSbox, die das in die Tage gekommene MS-DOS emuliert, da neuere Windowsversionen kein DOS nur noch eine PowerShell mitbringen ist für moderne Rechner etwas schlecht konfiguriert. Deswegen gibt es beim Spielspaß einen Punkt Abzug, weil in der vorgefertigten Konfiguration öfters einmal Aussetzer oder Ruckler entstehen. Mit dem von Windows mitgelieferten Texteditor kann man sich die Konfiguration ein bisschen auffrischen und die Ruckler unterbinden.Einen weiteren Punkt bei der Gesamtwertung gibt es dennoch Abzug. Die DosBox ist Open-Source Software und daher auch für unter Linux verfügbar. Auf der DVD währe noch Platz für eine Installation unter Linux als .rpm oder .deb Das habe ich auf dieser DVD schmerzlichst vermisst.Fazit:Alles in allem eine gute Zusammenstellung von alten Spielen mit ein paar kleinen Haken.
Flop	1	Unverschämt schlecht gemacht. Ich weiss nicht wie sich Deutschland sowas anhören kann!? Unkreative Texte, schlechte Stimme, gleicher Sound überall. Und wieder mal geklaute Lieder wie z.B "it cuts like a knife". Original: David Guetta feat. Usher "without you". Ich will mein Geld zurück!!!
Super Navi, würde ich mir wieder kaufen	4	Hallo! Habe mir unlängst dieses Navi gekauft, nachdem ich zuvor das Easy-Modell vom gleichen Hersteller erworben hatte. Dieses hatte Länder wie Bulgarien, Kasachstan und Lummerland unter seinen 20 beinhalteten Ländern, aber Großbritannien fehlte. Die Premiumversion ist da schon viel besser ausgestattet. Das tollste an diesem Navi ist die einfache Bedienung und der dynamische Fahrspurassistent. Gegenüber dem Easy hat dieses aber noch die Freisprecheinrichtung, die mit dem iphone toll funktioniert und sehr einfach zu installieren ist. Irgendwann soll man hier einen vierstelligen Code eingeben, was etwas verwirrt: "Welcher Code denn? Wo finde ich den? Kenne keinen Code!" Aber es ist wirklich einfach: erfinde irgendeine vierstellige Zahlenkombination, die Du Dir leicht merken kannst, z.B. 0000. Eingeben, am Handy die Gleiche Nummer eingeben, fertig. Habe das Gerät schon weiterempfohlen und auch mein Kumpel ist begeistert. Am Besten gleich das Steckdosenladegerät für paar Euro mitbestellen, das lohnt sich. Für fünt Sterne hätte es noch die dynamische / sprachgesteuerte Freisprech-, Telefon- und Navigationfunktion benötigt. Dies hat das Highendgerät dieser Linie, was entsprechend teurer ist. Wäre aber nice to have.
